"event_ts","turbine_id","anomaly_type","severity","wind_speed","power_output","generator_temperature","gearbox_temperature","vibration_level"
"2026-03-16 20:32:22.197911+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","12.72","3000","84.76","75.88","1.0712"
"2026-03-16 20:32:22.198472+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","12.25","2959.91","83.37","75.25","0.954"
"2026-03-16 20:32:23.197738+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","11.99","3000","85.37","73.99","1.0322"
"2026-03-16 20:32:24.197906+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","12.81","2943.3","83.16","75.12","1.106"
"2026-03-16 20:32:25.197867+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","12.74","3000","86.28","75.43","0.9887"
"2026-03-16 20:32:25.197937+00","WT-004","UNEXPECTED_ZERO_POWER","WARNING","3.05","0","59.52","54.05","0.1621"
"2026-03-16 20:32:27.198763+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","13.32","3000","86.13","77.88","1.0275"
"2026-03-16 20:32:28.2007+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","12.94","2947.55","83.42","76.69","0.9276"
"2026-03-16 20:32:29.202325+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","13.75","2993.77","85.88","74.74","1.0953"
"2026-03-16 20:32:30.200738+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","14.52","3000","85.76","73.08","0.9855"
"2026-03-16 20:32:30.201238+00","WT-009","HIGH_GEARBOX_TEMP","WARNING","12.44","3000","84.96","75.95","0.9603"
"2026-03-16 20:32:31.200934+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","14.48","3000","86.03","74.83","1.0274"
"2026-03-16 20:32:31.201414+00","WT-009","HIGH_GEARBOX_TEMP","WARNING","12","2971.58","83.19","75.34","0.9654"
"2026-03-16 20:32:31.201651+00","WT-011","HIGH_GENERATOR_TEMP","WARNING","12.11","3000","85.04","75.71","1.0186"
"2026-03-16 20:32:31.201719+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","11.9","2938.87","85.32","75.08","0.9893"
